PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
CARLOS IVAN GODÍNEZ HERNÁNDEZ,	COMISION FEDERAL DE ELECTRICIDAD,	0055/2016,	CARLOS IVÁN GODÍNEZ HERNÁNDEZ  NO FORMALIZÓ EL CONTRATO 9100020494  QUE LE FUE ADJUDICADO MEDIANTE EL PROCEDIMIENTO DE INVITACIÓN A CUANDO MENOS TRES PERSONAS NÚMERO IA-018TOQ789-E35-2016  EN LA FECHA ESTABLECIDA PARA TAL EFECTO  ESTO ES  EL DIECIOCHO DE NOVIEMBRE DE DOS MIL DIECISÉIS POR CAUSAS QUE LE SON IMPUTABLES,	,	SANCIONATORIA CON MULTA,	06/04/2017,	05/04/2017,	,	109560.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
CARMEN LIMÓN GUTIÉRREZ,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0033/2012,	LA PROVEEDORA  ACTUÓ CON DOLO AL PROPORCIONAR INFORMACIÓN FALSA EN SU ESCRITO DE RESPALDO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/01/2017,	25/01/2017,	2 AÑOS,	90378.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
CARMI SERVICIOS DE OFICINA  S.A. DE C.V.,	SECRETARIA DE COMUNICACIONES Y TRANSPORTES,	0015/2008,	MANIFESTO ANTE LA CONVOCANTE NO ESTAR DISPUESTA A FIRMAR EL CONTRATO,	,	SANCIONATORIA CON MULTA,	08/12/2009,	30/11/2009,	,	16302.90,	HECTOR MANUEL MONTES GAYTAN,	14/01/2021 08:01
CAROLINA CASTAÑEDA ESPARZA,	COMISION NACIONAL DE ZONAS ARIDAS,	0001/2012,	INCUMPLIMINETO AL CONTRATO EN VIRTUD DE NO HABER ENTREGADO LOS SERVICIOS Y PRODUCTOS ESTABLECIDOS Y LOS QUE ENTREGÓ FUERON OBSERVADOS DE IRREGUALRES POR EL OIC EN LA CONAZA,	,	SANCIONATORIA CON MULTA,	06/11/2012,	23/10/2012,	,	84940.00,	GRISEL GUADALUPE SORIA AGUILAR,	14/01/2021 08:01
CARTOFEX Y SERVICIOS DE LA LAGUNA  S.A DE C.V.,	COMISION NACIONAL DE ZONAS ARIDAS,	0001/2009,	NO ENTREGÓ LA GARANTIA DE CUMPLIMIENTO,	SERVICIO DE ADMINSITRACION FR NÓMINAS Y RECURSOS HUMANOS  RENTA DE PERSONAL DE SERVICIO  PRESTACION DE SERVICIOS PROFESIONALES DE CONTABILIDAD  ADMINSITRACIÓN  AUDITORIA  JURÍDICA  EMPRESARIAL  TÉCNICA ,	SANCIONATORIA CON MULTA,	14/04/2010,	05/04/2010,	,	82200.00,	GRISEL GUADALUPE SORIA AGUILAR,	14/01/2021 08:01
CASLAB DE MÉXICO  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0045/2019,	ART. 6O  FRACCIÓN II  DE LA LAASSP.  <br>LA EMPRESA FUE SUJETA DE LA RESCISIÓN ADMINISTRATIVA DE  UN CONTRATO EN UNA ENTIDAD Y EN UNA DEPENDENCIA DENTRO DE UN LAPSO DE TRES AÑOS  CONTADOS A PARTIR DE LA NOTIFICACIÓN DE LA PRIMERA RESCISIÓN  TODA VEZ QUE  MEDIANTE RESOLUCIONES DE 26 DE DICIEMBRE DE 2018  Y 25 DE JUNIO DE 2019  SE LE RESCINDIERON RESPECTIVAMENTE  LOS CONTRATOS NÚMEROS 180003 MC Y 190040 MC  QUE SUSCRIBIÓ CON EL ISSSTE  Y  A TRAVÉS DE SENDAS RESOLUCIONES DE 13 DE JUNIO DE 2019  LA SEDENA LE RESCINDIÓ LOS PEDIDOS NÚMEROS DN-10 SASM-035/S/A/2018  DN-10 SASM-184/S/A/2018  Y DN-10 SASM-161/S/A/2019.,	COMPRA  VENTA  CONSIGNACIÓN  IMPORTACIÓN  EXPORTACIÓN  FABRICACIÓN  DISTRIBUCIÓN  ALMACENAMIENTO  TRANSPORTE Y COMERCIALIZACIÓN DE TODA CLASE DE INSTRUMENTOS  EQUIPO Y SUS REFACCIONES  MATERIAS  MATERIALES  REACTIVOD Y EN GENERAL CUALQUIER CLASE DE PRODUCTO  A CUALQUIER PERSONA FÍSICA O MORAL  Y MUY PARTICULARMENTE A LABORATORIOS QUÍMICOS O CLÍNICOS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/11/2020,	13/11/2020,	1 AÑO 3 MESES,	633675.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CATO SERVICIOS  S.A. DE C.V.,	INSTITUTO MEXICANO DEL PETROLEO,	0001/2019,	HABER PRESENTADO UN DOCUMENTO DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL CON INFORMACION FALSA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/01/2020,	13/01/2020,	3 MESES,	105686.00,	MYRIAM MARIA GUADALUPE MACIEL JASSO,	14/01/2021 08:01
CCISA CORPORATIVO CONSTRUCTOR INTERACTIVO  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0070/2015,	PAGOS EN EXCESO,	,	SANCIONATORIA CON MULTA,	25/06/2018,	22/06/2018,	,	499720.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CECILIA GUADALUPE FELIX GALVEZ,	DICONSA,	0004/2015,	OMITIO CUMPLIR CON ESPECIFICACIONES DEL ANEXO UNICO DEL CONTRATO PSG/240/2015  UBICANDOSE EN EL SUPUESTO DE LA FRACCIÓN III DEL ARTÍCULO 60 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO <br> <br>DEL RUBRO SISTEMAS DE CONTROL INTERNO QUE OBSERVARÁ EL PERSONAL DE SEGURIDAD Y VIGILANCIA,	SERVICIO DE INVESTIGACIÓN Y DE PROTECCIÓN,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/11/2016,	04/11/2016,	5 AÑOS,	2103000.00,	JORGE ALBERTO GARCÍA FLORES,	14/01/2021 08:01
CEICER  S.A. DE C.V.,	BANCO NACIONAL DE CREDITO RURAL  S.N.C.,	0005/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	COMERCIALIZACION DE PRODUCTOS Y SISTEMAS ELECTRICOS Y ELECTRONICOS DE SONIDO Y VIDEO  DE CONTROL DE TRAFICO  TRANSMISION DE DATOS Y COMPUTACION DE SEGURIDAD Y LOCALIZACION DE VEHICULOS Y PERSONAL  CONTROL DE PERSONAL Y DE ACCESO Y DEMAS SISTEMAS  PRODUCTOS Y SERVICIOS RELACIONADO Y CONEXOS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/09/2006,	14/09/2006,	3 MESES,	72540.00,	VICTOR MANUEL MUCIÑO GARCIA,	14/01/2021 08:01
CENDISUR  S.C.P.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0134/2009,	FALSEDAD DE DECLARACIONES. UNO DE LOS SOCIOS ES SERVIDOR PÚBLICO DEL IMSS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/11/2009,	22/10/2009,	3 AÑOS 3 MESES,	995788.20,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
CENLAV 2005  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0009/2015,	LA EMPRESA CENLAV 2005  PRESENTO  DOCUMENTO PRESUNTAMENTE APÓCRIFO  CONSISTENTE EN UN CERTIFICADO DE HABILIDADES LABORALES  Y MANEJO DE ROPA HOSPITALARIA EMITIDO POR LA SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,	ALQUILER Y LAVADO DE  DE BLANCOS PARA HOSPITALES  HOTELES Y RESTAURANTES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	21/06/2016,	08/06/2016,	2 AÑOS 6 MESES,	1086550.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
CENTENARIO EDIFICACIONES S.A. DE C.V.,	ADMINISTRACION PORTUARIA INTEGRAL DE DOS BOCAS  S.A. DE C.V.,	0003/2017,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A SOPORTE DE EXPERIENCIA LABORAL DE LA EMPRESA LICITANTE.,	CONSTRUCCIÓN DE OBRAS PÚBLICAS Y PRIVADAS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/11/2019,	19/11/2019,	3 MESES,	114745.00,	JOSÉ GUADALUPE FÉLIX DE LA CRUZ,	14/01/2021 08:01
CENTEX GLOBAL ENERGY L.P.,	PEMEX PETROQUIMICA,	0014/2010,	SE CUENTA CON ELEMENTOS SUFICIENTES QUE PERMITEN PRESUMIR QUE LA EMPRESA DENOMINADA CENTEX GLOBAL ENERGY L.P.  PROBABLEMENTE SE UBICA EN EL SUPUESTO ESTABLECIDO EN LA FRACCIÓN IV  DEL ARTÍCULO 60 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  AL HABER PROPORCIONADO INFORMACIÓN FALSA EN LA LICITACIÓN PÚBLICA INTERNACIONAL NÚMERO 18578019-018-09  PARA LA ADQUISICIÓN DE “SISTEMA DE ENCENDIDO ELECTRÓNICO PARA QUEMADORES DEL ÁREA DE TRATAMIENTO DE EFLUENTES Y QUEMADORES DEL COMPLEJO PETROQUÍMICO MORELOS”  YA QUE DICHA EMPRESA JUNTO CON SOLUCIONES TÉRMICAS AGNI  S.A. DE C.V.  CON FECHA DIECINUEVE DE OCTUBRE DE DOS MIL NUEVE  CON EL FIN DE CUMPLIR CON LOS REQUISITOS EXIGIDOS EN LAS BASES  A TRAVÉS DEL C. LUIS LORENZANA VALADEZ  REPRESENTANTE COMÚN  PRESENTÓ EL “DOCUMENTO 08”  APARENTEMENTE EMITIDO CON EL AVAL DE LA FABRICANTE O DUEÑA DE LA MARCA  LA EMPRESA DENOMINADA ZEECO  INC  EN DONDE PRESUNTAMENTE MANIFESTÓ BAJO PROTESTA DE DECIR VERDAD  QUE LA TOTALIDAD DE LOS BIENES QUE OFERTA BAJO LA POSICIÓN DEL 1 AL 4  SON ORIGINARIOS DE LOS ESTADOS UNIDOS DE NORTEAMÉRICA; CARTA ESTA QUE NO SE APEGA A LA VERDAD  TODA VEZ QUE EL REPRESENTANTE LEGAL DE LA EMPRESA DENOMINADA ZEECO  INC  MANIFESTÓ A TRAVÉS DEL ACTA DE FECHA 19 DE NOVIEMBRE DEL 2009  LLEVADA A CABO POR PERSONAL ADSCRITO DE ESTE ÓRGANO INTERNO DE CONTROL EN PEMEX PETROQUÍMICA  QUE DICHA FIRMA NO CORRESPONDE AL PUÑO Y LETRA DEL DECLARANTE  DESLINDÁNDOSE DEL CONTENIDO Y FIRMA DE ESTE DOCUMENTO EN SU TOTALIDAD  SIENDO ABSOLUTA RESPONSABILIDAD DEL ALCANCE DE ESTE DOCUMENTO DEL QUE LO OFRECIÓ COMO SI SU FIRMA FUERE ESTAMPADA DE SU MANO; HECHOS ESTOS  QUE PODRÍAN UBICAR A LA EMPRESA DENOMINADA CENTEX GLOBAL ENERGY L.P.  EN EL SUPUESTO ESTABLECIDO EN LA FRACCIÓN IV  DEL ARTÍCULO 60 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  AL HABER PROPORCIONADO INFORMACIÓN FALSA EN LA LICITACIÓN PÚBLICA INTERNACIONAL DE ANTECEDENTES.,	INGENIERÍA  DISEÑO  PROCURA Y CONSTRUCCIÓN DE PLANTAS QUÍMICAS  PETROQUÍMICAS Y DE GENERACIÓN DE ENERGÍA ASÍ COMO SUMINISTRO DE EQUIPO PARA LA INDUSTRIA QUÍMICA  PETROQUÍMICA Y DE GENERACIÓN DE NEREGÍA Y LA INDUSTIA EN GENERAL.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/05/2010,	20/05/2010,	2 AÑOS 6 MESES,	849400.00,	,	14/01/2021 08:01
CENTRAL DE MATERIAL PARA HOSPITALES  S.A. DE C.V. CMH871014,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0002/2014,	POR CAUSAS IMPUTABLES A LA EMPRESA  NO SE FORMALIZÓ EL PEDIDO NÚMERO P-094/13-06-2  AL NO PRESENTAR EN TIEMPO Y FORMA EL DOCUMENTO DENOMINADO OPINIÓN DE CUMPLIMIENTO DE OBLIGACIONES FISCALES  REQUISITO QUE FUE ESTABLECIDO EN LAS BASES DE LA CONVOCATORIA.,	,	SANCIONATORIA CON MULTA,	30/03/2015,	23/03/2015,	,	97140.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
CENTRO CAMIONERO DE JIMÉNEZ  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0224/2009,	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>OMITIÓ FORMALIZAR EL CONTRATO PARA LA ADQUISICIÓN DE CAMIÓN DE PASAJEROS  MODELO 2007  MOTOR ELÉCTRICO  MARCA MERCEDES BENZ 260 HP 2 300 R.P.M.  DERIVADO DE LA INVITACIÓN A CUANDO MENOS TRES PERSONAS CAPDE-EM-IRN-001/2007-1  CONVOCADA POR EL COMITÉ DE ADQUISICIONES DEL PODER EJECUTIVO DEL ESTADO DE MICHOACÁN.,	,	SANCIONATORIA CON MULTA,	11/11/2009,	11/11/2009,	,	75855.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CENTRO DE ATENCIÓN INTEGRAL A PACIENTE RENAL  S.C.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0051/2012,	LA SOCIEDAD CIVIL SE CONDUJO CON FALSEDAD  AL PROPORCIONAR INFORMACIÓN FALSA  RESPECTO A LA PRESTACION DEL SERVICIO SUBROGADO DE HEMODIÁLISIS  EN DOMICILIO DISTINTO AL QUE FUE EVALUADO TECNICAMENTE  CORRESPONDIENDO ESTE A UN TERCERO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	22/02/2013,	12/02/2013,	2 AÑOS 3 MESES,	89063.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
CENTRO DE DIAGNOSTICO Y ESTUDIO ESPECIALIZADO  S.C. DE R.L. DE C.V.,	INSTITUTO MEXICANO DEL PETROLEO,	0003/2014,	PRESENTO DOCUMENTACION PRESUNTAMENTE APOCRIFA EN SU PROPUESTA,	SERVICIOS DE ASISTENCIA TECNICA EN LOS CONCEPTOS DE DIAGNOSTICO  GESTION  PLANES DE NEGOCIO Y ASEORIA LEGAL JURIDICA  PRODUCCION  INDUSTRIALIZACION  COMERCIALIZACION Y EXPORTACION DE LOS SERVICIOS PRESTADOS POR LA EMPRESA,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/03/2015,	06/03/2015,	3 MESES,	104299.50,	MYRIAM MARIA GUADALUPE MACIEL JASSO,	14/01/2021 08:01
CENTRO EDUCATIVO DE DESARROLLO HUMANO Y CAPACITACIÓN  S.C.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0007/2010,	NO SE PRESENTÓ A FIRMAR EL CONTRATO ADJUDICADO,	PRESTAR SERVICIOS DE EDUCACION INICIAL Y PREESCOLAR CON RECONOCIMIENTO DE VALIDÉZ OFICIAL,	SANCIONATORIA CON MULTA,	01/12/2010,	28/10/2010,	,	169880.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
CENTRO PARA EL DESARROLLO INTEGRAL Y LA COMPETITIVIDAD DEL TURISMO EN ÁREAS RURALES  S.C.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0071/2017,	MANIFESTACIÓN BAJO PROTESTA DE DECIR VERDAD DE QUE NINGUNO DE LOS SOCIOS ES SERVIDOR PÚBLICO  SIENDO QUE UNO DE LOS SOCIOS SI ERA SERVIDOR PÚBLICO Y SOCIO A LA VEZ  AL MOMENTO DE PRESENTAR SU PROPOSICIÓN.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/10/2018,	11/10/2018,	1 MES,	468038.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CERCAS DELTA  S.A. DE C.V.,	AEROPUERTO  INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,	0022/2005,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	SUMINISTRO Y COLOCACIÓN DE CERCAS DE ALAMBRE  REMODELACIÓN Y ACABADOS ARQUITECTONICOS  DE TODO TIPO DE BIENES  BIENES E INMUEBLES  ASÍ COMO LA FABRICACIÓN DE ALAMBRADOS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/01/2006,	30/12/2005,	3 MESES,	67860.00,	DANIEL GATICA MENDOZA,	14/01/2021 08:01
CÉSAR JOSÉ NAVARRO GALVÁN,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0032/2015,	78 FRACCIÓN I  LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS. NO FORMALIZACIÓN DE CONTRATO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	26/05/2016,	16/05/2016,	3 MESES,	108655.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CESAR MANUEL LUCIANO RAMÍREZ,	FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA  GANADERIA Y AVICULTURA,	0003/2007,	NO SE PRESENTÓ A LA FIRMA DEL CONTRATO EN LA FECHA PROGRAMADA NI HIZO ENTREGA DE LA FIANZA CORRESPONDIENTE  POR LO QUE NO SE FORMALIZO EL CONTRATO ADJUDICADO.,	LIMPIEZA DE EDIFICIOS. <br>DE LA EMPRESA CORPORACIÓN DE ORDEN  VIGILANCIA Y LIMPIEZA S.A DE C.V.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	22/08/2007,	22/08/2007,	3 MESES,	75855.00,	,	14/01/2021 08:01
CF PHARMACEUTICAL  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0594/2007,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D60395,	FABRICACION  MAQUILA  DISTRIBUCION  IMPORTACION  EXPORTACION  COMPRA  VENTA  COMERCIALIZACION  DE INSTRUMENTAL Y DE EQUIPO MEDICO,	SANCIONATORIA CON MULTA,	08/09/2010,	25/08/2010,	,	75438.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
CHALSA CONSTRUCTORA  S.A. DE C.V.,	SECRETARIA DE COMUNICACIONES Y TRANSPORTES,	0485/2004,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/04/2006,	23/03/2006,	3 MESES,	67860.00,	HECTOR MANUEL MONTES GAYTAN,	14/01/2021 08:01
CHIAPAS LIMPIO  S.A. DE C.V.,	INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,	0004/2007,	CON REALCIÓN A LA LICITACIÓN PÚBLICA NACIONAL NÚMERO 11151 001 002 07 SERVICIOS ESPECIALIZADOS DE LIMPIEZA  DENTRO DEL PROCEDIMIENTO LICITATORIO  EN LA APERTURA DE OFERTAS TÉCNICAS Y ECONÓMICAS  SE DETECTARON TRES DOCUMENTOS QUE PRESUMIBLEMENTE PUDIERAN HABER SIDO FALSOS  EXPEDIDOS POR LA ESCUELA NACIONAL DE CIENCIAS BIOLÓGICAS DEL INSTITUTO POLITÉCNICO NACIONAL.   <br>   <br>EN TAL VIRTUD  SE GIRARON OFICIOS A LA Q.B.P.  NORMA PESCADOR ELIZONDO  DEL DEPARTAMENTO DE MICROBIOLOGIA DE LA ESCUELA NACIONAL EN MENCION  DONDE APARENTEMENTE SE HABÍAN REALIZADO LOS ANÁLISIS DE LABORATORIO QUE PRESUMIBLEMENTE HABÍAN EFECTUADO PARA ANÁLISIS DE LABORATORIO DE SUS PRODUCTOS  LAS EMPRESAS SALMAN SERVICIOS PROFESIONALES  S.A. DE C.V.  OUTSOURCING DE LIMPIEZA  S.A. DE C.V. Y CHIAPAS LIMPIO  S.A. DE C.V.  HABIÉNDOSE EMITIDO PARA DICHAS EMPRESAS DIVERSOS OFICIOS Y NÚMEROS DE CONTROL.   <br>   <br>ES EL CASO QUE CON ESTA FECHA EL DIRECTOR DE LA ESCUELA NACIONAL DE CIENCIAS BIOLÓGICAS DR. LUIS ANTONIO JIMÉNEZ ZAMUDIO  MEDIANTE OFICIO DIR/ENCB//0396/07  NOS ESTÁ CONFIRMANDO QUE EL LABORATORIO DE ECOLOGIA MICROBIANA DE ESA ESCUELA  NO LLEVÓ A CABO LOS ANÁLISIS MENCIONADOS Y LA DOCUMENTACIÓN PRESENTADA POR LAS EMPRESAS EN LA LICITACIÓN REFERIDA ES APARENTEMENTE FALSA  YA QUE ADEMÁS LOS SUPUESTOS SUSCRIPTORES  NO RECONOCEN SUS FIRMAS  AMÉN DE QUE LOS NÚMEROS DE CONTROL SON INCONSISTENTES  ASÍ COMO LOS ENCABEZADOS Y CARGO DE ALGUNO DE LOS SUPUESTOS FIRMANTES,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/10/2007,	28/09/2007,	3 MESES,	70798.00,	CARLOS ARTURO  ESTRADA MARTINEZ,	14/01/2021 08:01
CIA. MEXICANA DE LICITACIONES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0247/2009,	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>OMITIÓ FORMALIZAR EL CONTRATO PARA LA ADQUISICIÓN DE 7300 MUSICASSETTES CON CINTA FÉRRICA C-60 HASTA 30 MINUTOS DE DURACIÓN POR LADO EN C-0 CRISTAL; IMPRESO EN UNA TINTA  QUE INCLUYE PORTADA EN DÍPTICO IMPRESA A 4X1 TINTAS (SELECCIÓN A COLOR) ENSAMBLADO  LAMINADO Y SELLADO EN PVC UNITARIAMENTE; DERIVADO DE LA LICITACIÓN PÚBLICA NACIONAL 04160001-007-06  CONVOCADA POR EL INSTITUTO NACIONAL DE LENGUAS INDÍGENAS.,	,	SANCIONATORIA CON MULTA,	12/10/2009,	30/09/2009,	,	14601.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
CIGE LATINOAMERICANA SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE,	CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONOMICAS  A.C.,	0001/2014,	EL LICITANTE PRESENTÓ EN SU PROPUESTA TÉCNICA PARA PARTICIPAR EN LA LICITACIÓN PÚBLICA NÚMERO 11090002-008-13   CARTAS DE FABRICANTE QUE NO FUERON EMITIDAS POR LA PERSONA MORAL PANASONIC DE MEXICO  S.A. DE C.V. Y GRUPO DICE  S.A DE C.V.  DOCUMENTOS QUE FUERON REQUISITOS DE CONVOCATORIA  Y CON LOS QUE PRETENDIÓ ACREDITAR QUE ERA DISTRIBUIDOR AUTORIZADO DE LAS MARCAS DE LOS PRODUCTOS ESPECIFICADOS EN LAS PARTIDAS DE LAS BASES Y HACER CONSTAR QUE CONTABA CON EL PERSONAL CALIFICADO PARA DESARROLLAR LA IMPLEMENTACION Y PUESTA EN SERVICIO DE LOS BIENES A ADQUIRIR.,	LA COMPRA  VENTA  ARRENDAMIENTO  REPRESENTACIÓN  COMISIÓN  CONSIGNACIÓN  IMPORTACIÓN  EXPORTACIÓN  DISTRIBUCIÓN  COMERCIALIZACIÓN  DE TODO TIPO DE BIENES  MATERIALES  EQUIPOS  SOFWERE Y METODOLOGÍAS  ASÍ COMO EL COMERCIO EN GENERAL Y OTROS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/11/2015,	30/10/2015,	3 MESES,	647600.00,	ELSA GABRIELA TOVAR BRAVO,	14/01/2021 08:01
CINEMALOGIC  S.C.,	COMISION FEDERAL DE ELECTRICIDAD,	0261/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	COMPRA  VENTA  DISTRIBUCIÓN  COMERCIALIZACIÓN  IMPORTACIÓN O EXPORTACIÓN DE TODA CLASE DE CINTAS  PELÍCULAS  VIDEOCLIPS  COMERCIALES  O AUDIOVISUALES  ASÍ COMO EL DISEÑO  EJECUCIÓN O PLANEACIÓN DE TODA CLASE DE CAMPAÑAS PUBLICITARIAS Y MEDICIÓN DE MEDIOS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	15/09/2006,	14/09/2006,	3 MESES,	72540.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
CLAUDIA CONTRERAS HUERTA,	SECRETARÍA DE AGRICULTURA Y DESARROLLO RURAL ,	0005/2007,	PRESENTACION DE INFORMACION FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/05/2007,	11/05/2007,	3 MESES,	73005.00,	ROSA CHAVEZ AGUILAR,	14/01/2021 08:01
CLAUDIA CONTRERAS HUERTA,	INSTITUTO NACIONAL DE ESTADISTICA  GEOGRAFIA E INFORMATICA,	0010/2007,	PROPORCIONAR INFORMACIÓN FALSA RESPECTO DEL PERMISO PARA PRESTAR SERVICIOS DE SEGURIDAD PRIVADA.,	SEGURIDAD PRIVADA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	08/06/2007,	29/05/2007,	3 MESES,	70798.00,	GERARDO SUAREZ ISLAS,	14/01/2021 08:01
CLAUDIA MARGARITA GOMEZ NIETO,	SECRETARIA DE LA DEFENSA NACIONAL,	0009/2012,	NO SE PRESENTO A LA FIRMA DEL DEL INSTRUMENTO CONTRALTUAL.,	COMERCIO AL PORMENOR EN FERRETERIAS Y TLAPALERIAS,	SANCIONATORIA CON MULTA,	10/01/2013,	06/10/2012,	,	93495.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
CLAVER SERVICIOS  KASPER LIMPIEZA Y MANTENIMIENTO  SERVICIOS COISARE DE SAN CRISTOBAL,	SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,	0001/2014,	LOS PROVEEDORES NO SE PRESENTARON A FIRMAR LOS CONTRATOS EN EL PLAZO DE 15 DIAS NATURALES POSTERIORES A LA NOTIFICACION DEL FALLO. ASIMISMO  OMITIERON PRESTAR EL SERVICIO DE LIMPIEZA ACORDE A LO ESTABLECIDO EN LA LICITACION PUBLICA EN RAZON DE INCONSISTENCIAS EN EL SERVICIO PRESTADO.,	SERVICIOS DE MANTENIMIENTO EN JARDINERIA  FUMIGACION Y LIMPIEZA DE TODO TIPO DE BIENES MUEBLES E INMUEBLES  ASI COMO TODO TIPO DE OBRAS RELACIONADAS CON LO ANTERIOR.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/12/2014,	24/12/2014,	1 AÑO,	104299.00,	,	14/01/2021 08:01
